"Int32","String","String","Int32","Int32","String","Int32","Int32","Int32"
0,"SAKURAKO_0101AK","F_SAKURAKO_0101AK.png",5,-516,"SAKURAKO_0101AK.spm",0,-1,-1
0,"SAKURAKO_0101AK2","F_SAKURAKO_0101AK2.png",5,-516,"SAKURAKO_0101AK.spm",1,-1,-1
0,"SAKURAKO_0101AZ","F_SAKURAKO_0101AZ.png",5,-516,"SAKURAKO_0101AK.spm",2,-1,-1
0,"SAKURAKO_0101BE","F_SAKURAKO_0101BE.png",5,-516,"SAKURAKO_0101AK.spm",3,-1,-1
0,"SAKURAKO_0101BE2","F_SAKURAKO_0101BE2.png",5,-516,"SAKURAKO_0101AK.spm",4,-1,-1
0,"SAKURAKO_0101EG","F_SAKURAKO_0101EG.png",5,-516,"SAKURAKO_0101AK.spm",5,-1,-1
0,"SAKURAKO_0101KN","F_SAKURAKO_0101KN.png",5,-516,"SAKURAKO_0101AK.spm",6,-1,-1
0,"SAKURAKO_0101KS","F_SAKURAKO_0101KS.png",5,-516,"SAKURAKO_0101AK.spm",7,-1,-1
0,"SAKURAKO_0101KS2","F_SAKURAKO_0101KS2.png",5,-516,"SAKURAKO_0101AK.spm",8,-1,-1
0,"SAKURAKO_0101NK","F_SAKURAKO_0101NK.png",5,-516,"SAKURAKO_0101AK.spm",9,-1,-1
0,"SAKURAKO_0101NK2","F_SAKURAKO_0101NK2.png",5,-516,"SAKURAKO_0101AK.spm",10,-1,-1
0,"SAKURAKO_0101NK3","F_SAKURAKO_0101NK3.png",5,-516,"SAKURAKO_0101AK.spm",11,-1,-1
0,"SAKURAKO_0101NK4","F_SAKURAKO_0101NK4.png",5,-516,"SAKURAKO_0101AK.spm",12,-1,-1
0,"SAKURAKO_0101NO","F_SAKURAKO_0101NO.png",5,-516,"SAKURAKO_0101AK.spm",13,-1,-1
0,"SAKURAKO_0101NS","F_SAKURAKO_0101NS.png",5,-516,"SAKURAKO_0101AK.spm",14,-1,-1
0,"SAKURAKO_0101TR","F_SAKURAKO_0101TR.png",5,-516,"SAKURAKO_0101AK.spm",15,-1,-1
0,"SAKURAKO_0101TR2","F_SAKURAKO_0101TR2.png",5,-516,"SAKURAKO_0101AK.spm",16,-1,-1
0,"SAKURAKO_0101TR3","F_SAKURAKO_0101TR3.png",5,-516,"SAKURAKO_0101AK.spm",17,-1,-1
0,"SAKURAKO_0101TR4","F_SAKURAKO_0101TR4.png",5,-516,"SAKURAKO_0101AK.spm",18,-1,-1
0,"SAKURAKO_0102AD","F_SAKURAKO_0102AD.png",2,-510,"SAKURAKO_0102AD.spm",0,-1,-1
0,"SAKURAKO_0102AK","F_SAKURAKO_0102AK.png",2,-510,"SAKURAKO_0102AD.spm",1,-1,-1
0,"SAKURAKO_0102AS","F_SAKURAKO_0102AS.png",2,-510,"SAKURAKO_0102AD.spm",2,-1,-1
0,"SAKURAKO_0102AS2","F_SAKURAKO_0102AS2.png",2,-510,"SAKURAKO_0102AD.spm",3,-1,-1
0,"SAKURAKO_0102EG","F_SAKURAKO_0102EG.png",2,-510,"SAKURAKO_0102AD.spm",4,-1,-1
0,"SAKURAKO_0102EG2","F_SAKURAKO_0102EG2.png",2,-510,"SAKURAKO_0102AD.spm",5,-1,-1
0,"SAKURAKO_0102IK","F_SAKURAKO_0102IK.png",2,-510,"SAKURAKO_0102AD.spm",6,-1,-1
0,"SAKURAKO_0102IK2","F_SAKURAKO_0102IK2.png",2,-510,"SAKURAKO_0102AD.spm",7,-1,-1
0,"SAKURAKO_0102IK3","F_SAKURAKO_0102IK3.png",2,-510,"SAKURAKO_0102AD.spm",8,-1,-1
0,"SAKURAKO_0102IK4","F_SAKURAKO_0102IK4.png",2,-510,"SAKURAKO_0102AD.spm",9,-1,-1
0,"SAKURAKO_0102IK5","F_SAKURAKO_0102IK5.png",2,-510,"SAKURAKO_0102AD.spm",10,-1,-1
0,"SAKURAKO_0102IK6","F_SAKURAKO_0102IK6.png",2,-510,"SAKURAKO_0102AD.spm",11,-1,-1
0,"SAKURAKO_0102IK7","F_SAKURAKO_0102IK7.png",2,-510,"SAKURAKO_0102AD.spm",12,-1,-1
0,"SAKURAKO_0102IK8","F_SAKURAKO_0102IK8.png",2,-510,"SAKURAKO_0102AD.spm",13,-1,-1
0,"SAKURAKO_0102KB","F_SAKURAKO_0102KB.png",2,-510,"SAKURAKO_0102AD.spm",14,-1,-1
0,"SAKURAKO_0102KM","F_SAKURAKO_0102KM.png",2,-510,"SAKURAKO_0102AD.spm",15,-1,-1
0,"SAKURAKO_0102KM2","F_SAKURAKO_0102KM2.png",2,-510,"SAKURAKO_0102AD.spm",16,-1,-1
0,"SAKURAKO_0102KM3","F_SAKURAKO_0102KM3.png",2,-510,"SAKURAKO_0102AD.spm",17,-1,-1
0,"SAKURAKO_0102KM4","F_SAKURAKO_0102KM4.png",2,-510,"SAKURAKO_0102AD.spm",18,-1,-1
0,"SAKURAKO_0102KM5","F_SAKURAKO_0102KM5.png",2,-510,"SAKURAKO_0102AD.spm",19,-1,-1
0,"SAKURAKO_0102NO","F_SAKURAKO_0102NO.png",2,-510,"SAKURAKO_0102AD.spm",20,-1,-1
0,"SAKURAKO_0102NO2","F_SAKURAKO_0102NO2.png",2,-510,"SAKURAKO_0102AD.spm",21,-1,-1
0,"SAKURAKO_0102NO3","F_SAKURAKO_0102NO3.png",2,-510,"SAKURAKO_0102AD.spm",22,-1,-1
0,"SAKURAKO_0102NO4","F_SAKURAKO_0102NO4.png",2,-510,"SAKURAKO_0102AD.spm",23,-1,-1
0,"SAKURAKO_0102NO5","F_SAKURAKO_0102NO5.png",2,-510,"SAKURAKO_0102AD.spm",24,-1,-1
0,"SAKURAKO_0102NR","F_SAKURAKO_0102NR.png",2,-510,"SAKURAKO_0102AD.spm",25,-1,-1
0,"SAKURAKO_0102TR","F_SAKURAKO_0102TR.png",2,-510,"SAKURAKO_0102AD.spm",26,-1,-1
0,"SAKURAKO_0103AK","F_SAKURAKO_0103AK.png",-17,-510,"SAKURAKO_0103AK.spm",0,-1,-1
