"String","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32"
"優",0,-1,26,1,-1,-1,-1,-1,-1,-1,-1,-1
"桜子",1,0,26,1,-1,-1,-1,-1,-1,-1,-1,-1
"勇樹",2,1,26,1,-1,-1,-1,-1,-1,-1,-1,-1
"みい",3,2,26,1,-1,-1,-1,-1,-1,-1,-1,-1
"要",4,3,26,1,-1,-1,-1,-1,-1,-1,-1,-1
"雪華",5,4,26,1,-1,-1,-1,-1,-1,-1,-1,-1
"めぐみ",6,5,26,1,-1,-1,-1,-1,-1,-1,-1,-1
"知世翔",7,6,26,1,-1,-1,-1,-1,-1,-1,-1,-1
"男性キャラ",8,7,26,0,-1,-1,-1,-1,-1,-1,-1,-1
"女性キャラ",8,8,26,0,-1,-1,-1,-1,-1,-1,-1,-1
"その他",9,-1,26,0,-1,-1,-1,-1,-1,-1,-1,-1
