"Int32","StringKey","StringKey","StringKey","String","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32"
11,"イベント選択 Phase01","","","EventSelect",1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"イベント選択 Phase02","","","EventSelect",2,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"イベント選択 Phase03","","","EventSelect",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"イベント選択 Phase04","","","EventSelect",4,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"イベント選択 Phase05","","","EventSelect",5,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"イベント選択 Phase06","","","EventSelect",6,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"イベント選択 Phase07","","","EventSelect",7,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"イベント選択 Phase08","","","EventSelect",8,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"イベント選択 Phase09","","","EventSelect",9,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"イベント選択 Phase10","","","EventSelect",10,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,"夕陽に吠えろ","","","90バッドエンド",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,"プロローグ","","","01プロローグ",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"想い＝プラスマイナスゼロ？","","","02共通01-1",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"千里の道もたこ焼き屋から","","","02共通01-2",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"下町ハムレット～高架下逢瀬","","","02共通01-3",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"あちちな二人の物語","","","02共通01-4",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"学園祭当日～両手いっぱいでジョニー","","","02共通02-1",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"あっ！？秋祭り","","","02共通02-2",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"下町ハムレット～禁断の果実","","","02共通02-3",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"冬の超長距離マラソン大会","","","02共通02-4",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"それでも貫く","","","02共通03-1",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"ただいま、銭湯中！","","","02共通03-2",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"聖なる夜なのに…","","<ルート> 桜子","02共通03-3",101,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"聖なる夜なのに…","","<ルート> 勇樹","02共通03-3",102,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"聖なる夜なのに…","","<ルート> みい・要","02共通03-3",103,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,"幼馴染み","","","03桜子01",0,-1,1,-1,-1,-1,-1,-1,-1,-1
11,"夫婦善哉","","","03桜子02",0,-1,1,-1,-1,-1,-1,-1,-1,-1
11,"たこ焼き怖い","","","03桜子03",0,-1,1,-1,-1,-1,-1,-1,-1,-1
11,"先輩後輩","","","03桜子04",0,-1,1,-1,-1,-1,-1,-1,-1,-1
11,"姉妹","","","03桜子05",0,-1,1,-1,-1,-1,-1,-1,-1,-1
11,"無自覚？","","","03桜子06",0,-1,1,-1,-1,-1,-1,-1,-1,-1
11,"正体不明のフアンノウン","","","03桜子07",0,-1,1,-1,-1,-1,-1,-1,-1,-1
11,"桜吹雪","","","03桜子08",0,-1,1,-1,-1,-1,-1,-1,-1,-1
4,"悩み殺し","","","03桜子09",0,-1,1,-1,-1,-1,-1,-1,-1,-1
4,"三つ数えて","","","03桜子10",0,-1,1,-1,-1,-1,-1,-1,-1,-1
