"Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32"
25,46,66,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,47,67,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,69,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,49,70,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,51,72,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,73,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,53,74,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
