"Int32","Int32","Int32","Int32","Int32","Int32","Int32","Int32","String","String","Int32","Int32","Int32","Int32"
255,255,255,0,0,100,100,100,"VISUAL_BLACK.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_CGMODE.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_EVENT_SAKUXISA.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_EVENTMODE.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_GIGA.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_MUSICMODE.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_OPTEROP01.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_OPTEROP01.png","VISUAL_OPTEROP02.png",423,315,1280,720
255,255,255,0,0,100,100,100,"VISUAL_REPLAYMODE.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_WHITE.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_01A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_02A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_04A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_05A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_05A.png","VISUAL_SAKURAKO_05B.png",65,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_08A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_08A.png","VISUAL_SAKURAKO_08B.png",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_09A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","VISUAL_SAKURAKO_10B.png",55,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","VISUAL_SAKURAKO_10C.png",3,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","VISUAL_SAKURAKO_10D.png",55,18,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","VISUAL_SAKURAKO_10E.png",70,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","VISUAL_SAKURAKO_10F.png",70,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","VISUAL_SAKURAKO_10G.png",138,85,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","VISUAL_SAKURAKO_10H.png",3,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","VISUAL_SAKURAKO_10I.png",55,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","VISUAL_SAKURAKO_10J.png",55,18,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","VISUAL_SAKURAKO_10K.png",70,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_10A.png","VISUAL_SAKURAKO_10L.png",55,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_11A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_11A.png","VISUAL_SAKURAKO_11B.png",17,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_11A.png","VISUAL_SAKURAKO_11C.png",188,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_12A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_12A.png","VISUAL_SAKURAKO_12B.png",198,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_12A.png","VISUAL_SAKURAKO_12C.png",186,39,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_12A.png","VISUAL_SAKURAKO_12D.png",35,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_12E.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_12E.png","VISUAL_SAKURAKO_12F.png",38,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_12E.png","VISUAL_SAKURAKO_12G.png",129,67,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_12E.png","VISUAL_SAKURAKO_12H.png",129,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_13A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_14A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_15A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_E01A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_H01A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_SAKURAKO_H01A.png","VISUAL_SAKURAKO_H01B.png",292,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_01A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_02A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_03A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_04A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_04A.png","VISUAL_ISAKI_04B.png",284,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_04A.png","VISUAL_ISAKI_04C.png",284,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_06A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_07A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_08A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_09A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_11A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_12A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_13A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_15A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_E01A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_E01A.png","VISUAL_ISAKI_E01B.png",173,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_H01A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_ISAKI_H01A.png","VISUAL_ISAKI_H01B.png",11,2,1280,720
255,255,255,0,0,100,100,100,"VISUAL_MII_01A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_MII_01A.png","VISUAL_MII_01B.png",18,1,1280,720
255,255,255,0,0,100,100,100,"VISUAL_MII_02A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_MII_02A.png","VISUAL_MII_02B.png",14,36,1280,720
255,255,255,0,0,100,100,100,"VISUAL_MII_02A.png","VISUAL_MII_02C.png",28,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_MII_02A.png","VISUAL_MII_02D.png",14,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_MII_03A.png","",0,0,1280,720
255,255,255,0,0,100,100,100,"VISUAL_MII_03A.png","VISUAL_MII_03B.png",145,0,1280,720
